codifier_group;display
Occupation;accountant
Occupation;actor
Occupation;actuary
Occupation;adhesive bonding machine tender
Occupation;adjudicator
Occupation;administrative assistant
Occupation;administrative services manager
Occupation;adult education teacher
Occupation;advertising manager
Occupation;advertising sales agent
Occupation;aerobics instructor
Occupation;aerospace engineer
Occupation;aerospace engineering technician
Occupation;agent
Occupation;agricultural engineer
Occupation;agricultural equipment operator
Occupation;agricultural grader
Occupation;agricultural inspector
Occupation;agricultural manager
Occupation;agricultural sciences teacher
Occupation;agricultural sorter
Occupation;agricultural technician
Occupation;agricultural worker
Occupation;air conditioning installer
Occupation;air conditioning mechanic
Occupation;air traffic controller
Occupation;aircraft cargo handling supervisor
Occupation;aircraft mechanic
Occupation;aircraft service technician
Occupation;airline copilot
Occupation;airline pilot
Occupation;ambulance dispatcher
Occupation;ambulance driver
Occupation;amusement machine servicer
Occupation;anesthesiologist
Occupation;animal breeder
Occupation;animal control worker
Occupation;animal scientist
Occupation;animal trainer
Occupation;animator
Occupation;answering service operator
Occupation;anthropologist
Occupation;apparel patternmaker
Occupation;apparel worker
Occupation;arbitrator
Occupation;archeologist
Occupation;architect
Occupation;architectural drafter
Occupation;architectural manager
Occupation;archivist
Occupation;art director
Occupation;art teacher
Occupation;artist
Occupation;assembler
Occupation;astronomer
Occupation;athlete
Occupation;athletic trainer
Occupation;ATM machine repairer
Occupation;atmospheric scientist
Occupation;attendant
Occupation;audio and video equipment technician
Occupation;audio-visual and multimedia collections specialist
Occupation;audiologist
Occupation;auditor
Occupation;author
Occupation;auto damage insurance appraiser
Occupation;automotive and watercraft service attendant
Occupation;automotive glass installer
Occupation;automotive mechanic
Occupation;avionics technician
Occupation;baggage porter
Occupation;bailiff
Occupation;baker
Occupation;barback
Occupation;barber
Occupation;bartender
Occupation;basic education teacher
Occupation;behavioral disorder counselor
Occupation;bellhop
Occupation;bench carpenter
Occupation;bicycle repairer
Occupation;bill and account collector
Occupation;billing and posting clerk
Occupation;biochemist
Occupation;biological technician
Occupation;biomedical engineer
Occupation;biophysicist
Occupation;blaster
Occupation;blending machine operator
Occupation;blockmason
Occupation;boiler operator
Occupation;boilermaker
Occupation;bookkeeper
Occupation;boring machine tool tender
Occupation;brazer
Occupation;brickmason
Occupation;bridge and lock tender
Occupation;broadcast news analyst
Occupation;broadcast technician
Occupation;brokerage clerk
Occupation;budget analyst
Occupation;building inspector
Occupation;bus mechanic
Occupation;butcher
Occupation;buyer
Occupation;cabinetmaker
Occupation;cafeteria attendant
Occupation;cafeteria cook
Occupation;camera operator
Occupation;camera repairer
Occupation;cardiovascular technician
Occupation;cargo agent
Occupation;carpenter
Occupation;carpet installer
Occupation;cartographer
Occupation;cashier
Occupation;caster
Occupation;ceiling tile installer
Occupation;cellular equipment installer
Occupation;cement mason
Occupation;channeling machine operator
Occupation;chauffeur
Occupation;checker
Occupation;chef
Occupation;chemical engineer
Occupation;chemical plant operator
Occupation;chemist
Occupation;chemistry teacher
Occupation;chief executive
Occupation;child social worker
Occupation;childcare worker
Occupation;chiropractor
Occupation;choreographer
Occupation;civil drafter
Occupation;civil engineer
Occupation;civil engineering technician
Occupation;claims adjuster
Occupation;claims examiner
Occupation;claims investigator
Occupation;cleaner
Occupation;clinical laboratory technician
Occupation;clinical laboratory technologist
Occupation;clinical psychologist
Occupation;coating worker
Occupation;coatroom attendant
Occupation;coil finisher
Occupation;coil taper
Occupation;coil winder
Occupation;coin machine servicer
Occupation;commercial diver
Occupation;commercial pilot
Occupation;commodities sales agent
Occupation;communications equipment operator
Occupation;communications teacher
Occupation;community association manager
Occupation;community service manager
Occupation;compensation and benefits manager
Occupation;compliance officer
Occupation;composer
Occupation;computer hardware engineer
Occupation;computer network architect
Occupation;computer operator
Occupation;computer programmer
Occupation;computer science teacher
Occupation;computer support specialist
Occupation;computer systems administrator
Occupation;computer systems analyst
Occupation;concierge
Occupation;conciliator
Occupation;concrete finisher
Occupation;conservation science teacher
Occupation;conservation scientist
Occupation;conservation worker
Occupation;conservator
Occupation;construction inspector
Occupation;construction manager
Occupation;construction painter
Occupation;construction worker
Occupation;continuous mining machine operator
Occupation;convention planner
Occupation;conveyor operator
Occupation;cook
Occupation;cooling equipment operator
Occupation;copy marker
Occupation;correctional officer
Occupation;correctional treatment specialist
Occupation;correspondence clerk
Occupation;correspondent
Occupation;cosmetologist
Occupation;cost estimator
Occupation;costume attendant
Occupation;counseling psychologist
Occupation;counselor
Occupation;courier
Occupation;court reporter
Occupation;craft artist
Occupation;crane operator
Occupation;credit analyst
Occupation;credit checker
Occupation;credit counselor
Occupation;criminal investigator
Occupation;criminal justice teacher
Occupation;crossing guard
Occupation;curator
Occupation;custom sewer
Occupation;customer service representative
Occupation;cutter
Occupation;cutting machine operator
Occupation;dancer
Occupation;data entry keyer
Occupation;database administrator
Occupation;decorating worker
Occupation;delivery services driver
Occupation;demonstrator
Occupation;dental assistant
Occupation;dental hygienist
Occupation;dental laboratory technician
Occupation;dentist
Occupation;derrick operator
Occupation;designer
Occupation;desktop publisher
Occupation;detective
Occupation;diagnostic medical sonographer
Occupation;die maker
Occupation;diesel engine specialist
Occupation;dietetic technician
Occupation;dietitian
Occupation;dinkey operator
Occupation;director
Occupation;dishwasher
Occupation;dispatcher
Occupation;door-to-door sales worker
Occupation;drafter
Occupation;dragline operator
Occupation;drama teacher
Occupation;dredge operator
Occupation;dressing room attendant
Occupation;dressmaker
Occupation;drier operator
Occupation;drilling machine tool operator
Occupation;dry-cleaning worker
Occupation;drywall installer
Occupation;dyeing machine operator
Occupation;earth driller
Occupation;economics teacher
Occupation;economist
Occupation;editor
Occupation;education administrator
Occupation;electric motor repairer
Occupation;electrical electronics drafter
Occupation;electrical engineer
Occupation;electrical equipment assembler
Occupation;electrical installer
Occupation;electrical power-line installer
Occupation;electrician
Occupation;electro-mechanical technician
Occupation;elementary school teacher
Occupation;elevator installer
Occupation;elevator repairer
Occupation;embalmer
Occupation;emergency management director
Occupation;emergency medical technician
Occupation;engine assembler
Occupation;engineer
Occupation;engineering manager
Occupation;engineering teacher
Occupation;english language teacher
Occupation;engraver
Occupation;entertainment attendant
Occupation;environmental engineer
Occupation;environmental science teacher
Occupation;environmental scientist
Occupation;epidemiologist
Occupation;escort
Occupation;etcher
Occupation;event planner
Occupation;excavating operator
Occupation;executive administrative assistant
Occupation;executive secretary
Occupation;exhibit designer
Occupation;expediting clerk
Occupation;explosives worker
Occupation;extraction worker
Occupation;fabric mender
Occupation;fabric patternmaker
Occupation;fabricator
Occupation;faller
Occupation;family practitioner
Occupation;family social worker
Occupation;family therapist
Occupation;farm advisor
Occupation;farm equipment mechanic
Occupation;farm labor contractor
Occupation;farmer
Occupation;farmworker
Occupation;fashion designer
Occupation;fast food cook
Occupation;fence erector
Occupation;fiberglass fabricator
Occupation;fiberglass laminator
Occupation;file clerk
Occupation;filling machine operator
Occupation;film and video editor
Occupation;financial analyst
Occupation;financial examiner
Occupation;financial manager
Occupation;financial services sales agent
Occupation;fine artist
Occupation;fire alarm system installer
Occupation;fire dispatcher
Occupation;fire inspector
Occupation;fire investigator
Occupation;firefighter
Occupation;fish and game warden
Occupation;fish cutter
Occupation;fish trimmer
Occupation;fisher
Occupation;fitness studies teacher
Occupation;fitness trainer
Occupation;flight attendant
Occupation;floor finisher
Occupation;floor layer
Occupation;floor sander
Occupation;floral designer
Occupation;food batchmaker
Occupation;food cooking machine operator
Occupation;food preparation worker
Occupation;food science technician
Occupation;food scientist
Occupation;food server
Occupation;food service manager
Occupation;food technologist
Occupation;foreign language teacher
Occupation;foreign literature teacher
Occupation;forensic science technician
Occupation;forest fire inspector
Occupation;forest fire prevention specialist
Occupation;forest worker
Occupation;forester
Occupation;forestry teacher
Occupation;forging machine setter
Occupation;foundry coremaker
Occupation;freight agent
Occupation;freight mover
Occupation;fundraising manager
Occupation;funeral attendant
Occupation;funeral director
Occupation;funeral service manager
Occupation;furnace operator
Occupation;furnishings worker
Occupation;furniture finisher
Occupation;gaming booth cashier
Occupation;gaming cage worker
Occupation;gaming change person
Occupation;gaming dealer
Occupation;gaming investigator
Occupation;gaming manager
Occupation;gaming surveillance officer
Occupation;garment mender
Occupation;garment presser
Occupation;gas compressor
Occupation;gas plant operator
Occupation;gas pumping station operator
Occupation;general manager
Occupation;general practitioner
Occupation;geographer
Occupation;geography teacher
Occupation;geological engineer
Occupation;geological technician
Occupation;geoscientist
Occupation;glazier
Occupation;government program eligibility interviewer
Occupation;graduate teaching assistant
Occupation;graphic designer
Occupation;groundskeeper
Occupation;groundskeeping worker
Occupation;gynecologist
Occupation;hairdresser
Occupation;hairstylist
Occupation;hand grinding worker
Occupation;hand laborer
Occupation;hand packager
Occupation;hand packer
Occupation;hand polishing worker
Occupation;hand sewer
Occupation;hazardous materials removal worker
Occupation;head cook
Occupation;health and safety engineer
Occupation;health educator
Occupation;health information technician
Occupation;health services manager
Occupation;health specialties teacher
Occupation;healthcare social worker
Occupation;hearing officer
Occupation;heat treating equipment setter
Occupation;heating installer
Occupation;heating mechanic
Occupation;heavy truck driver
Occupation;highway maintenance worker
Occupation;historian
Occupation;history teacher
Occupation;hoist and winch operator
Occupation;home appliance repairer
Occupation;home economics teacher
Occupation;home entertainment installer
Occupation;home health aide
Occupation;home management advisor
Occupation;host
Occupation;hostess
Occupation;hostler
Occupation;hotel desk clerk
Occupation;housekeeping cleaner
Occupation;human resources assistant
Occupation;human resources manager
Occupation;human service assistant
Occupation;hunter
Occupation;hydrologist
Occupation;illustrator
Occupation;industrial designer
Occupation;industrial engineer
Occupation;industrial engineering technician
Occupation;industrial machinery mechanic
Occupation;industrial production manager
Occupation;industrial truck operator
Occupation;industrial-organizational psychologist
Occupation;information clerk
Occupation;information research scientist
Occupation;information security analyst
Occupation;information systems manager
Occupation;inspector
Occupation;instructional coordinator
Occupation;instructor
Occupation;insulation worker
Occupation;insurance claims clerk
Occupation;insurance sales agent
Occupation;insurance underwriter
Occupation;intercity bus driver
Occupation;interior designer
Occupation;internist
Occupation;interpreter
Occupation;interviewer
Occupation;investigator
Occupation;jailer
Occupation;janitor
Occupation;jeweler
Occupation;judge
Occupation;judicial law clerk
Occupation;kettle operator
Occupation;kiln operator
Occupation;kindergarten teacher
Occupation;laboratory animal caretaker
Occupation;landscape architect
Occupation;landscaping worker
Occupation;lathe setter
Occupation;laundry worker
Occupation;law enforcement teacher
Occupation;law teacher
Occupation;lawyer
Occupation;layout worker
Occupation;leather worker
Occupation;legal assistant
Occupation;legal secretary
Occupation;legislator
Occupation;librarian
Occupation;library assistant
Occupation;library science teacher
Occupation;library technician
Occupation;licensed practical nurse
Occupation;licensed vocational nurse
Occupation;life scientist
Occupation;lifeguard
Occupation;light truck driver
Occupation;line installer
Occupation;literacy teacher
Occupation;literature teacher
Occupation;loading machine operator
Occupation;loan clerk
Occupation;loan interviewer
Occupation;loan officer
Occupation;lobby attendant
Occupation;locker room attendant
Occupation;locksmith
Occupation;locomotive engineer
Occupation;locomotive firer
Occupation;lodging manager
Occupation;log grader
Occupation;logging equipment operator
Occupation;logistician
Occupation;machine feeder
Occupation;machinist
Occupation;magistrate judge
Occupation;magistrate
Occupation;maid
Occupation;mail clerk
Occupation;mail machine operator
Occupation;mail superintendent
Occupation;maintenance painter
Occupation;maintenance worker
Occupation;makeup artist
Occupation;management analyst
Occupation;manicurist
Occupation;manufactured building installer
Occupation;mapping technician
Occupation;marble setter
Occupation;marine engineer
Occupation;marine oiler
Occupation;market research analyst
Occupation;marketing manager
Occupation;marketing specialist
Occupation;marriage therapist
Occupation;massage therapist
Occupation;material mover
Occupation;materials engineer
Occupation;materials scientist
Occupation;mathematical science teacher
Occupation;mathematical technician
Occupation;mathematician
Occupation;maxillofacial surgeon
Occupation;measurer
Occupation;meat cutter
Occupation;meat packer
Occupation;meat trimmer
Occupation;mechanical door repairer
Occupation;mechanical drafter
Occupation;mechanical engineer
Occupation;mechanical engineering technician
Occupation;mediator
Occupation;medical appliance technician
Occupation;medical assistant
Occupation;medical equipment preparer
Occupation;medical equipment repairer
Occupation;medical laboratory technician
Occupation;medical laboratory technologist
Occupation;medical records technician
Occupation;medical scientist
Occupation;medical secretary
Occupation;medical services manager
Occupation;medical transcriptionist
Occupation;meeting planner
Occupation;mental health counselor
Occupation;mental health social worker
Occupation;merchandise displayer
Occupation;messenger
Occupation;metal caster
Occupation;metal patternmaker
Occupation;metal pickling operator
Occupation;metal pourer
Occupation;metal worker
Occupation;metal-refining furnace operator
Occupation;metal-refining furnace tender
Occupation;meter reader
Occupation;microbiologist
Occupation;middle school teacher
Occupation;milling machine setter
Occupation;millwright
Occupation;mine cutting machine operator
Occupation;mine shuttle car operator
Occupation;mining engineer
Occupation;mining safety engineer
Occupation;mining safety inspector
Occupation;mining service unit operator
Occupation;mixing machine setter
Occupation;mobile heavy equipment mechanic
Occupation;mobile home installer
Occupation;model maker
Occupation;model
Occupation;molder
Occupation;mortician
Occupation;motel desk clerk
Occupation;motion picture projectionist
Occupation;motorboat mechanic
Occupation;motorboat operator
Occupation;motorboat service technician
Occupation;motorcycle mechanic
Occupation;multimedia artist
Occupation;museum technician
Occupation;music director
Occupation;music teacher
Occupation;musical instrument repairer
Occupation;musician
Occupation;natural sciences manager
Occupation;naval architect
Occupation;network systems administrator
Occupation;new accounts clerk
Occupation;news vendor
Occupation;nonfarm animal caretaker
Occupation;nuclear engineer
Occupation;nuclear medicine technologist
Occupation;nuclear power reactor operator
Occupation;nuclear technician
Occupation;nursing aide
Occupation;nursing instructor
Occupation;nursing teacher
Occupation;nutritionist
Occupation;obstetrician
Occupation;occupational health and safety specialist
Occupation;occupational health and safety technician
Occupation;occupational therapist
Occupation;occupational therapy aide
Occupation;occupational therapy assistant
Occupation;offbearer
Occupation;office clerk
Occupation;office machine operator
Occupation;operating engineer
Occupation;operations manager
Occupation;operations research analyst
Occupation;ophthalmic laboratory technician
Occupation;optician
Occupation;optometrist
Occupation;oral surgeon
Occupation;order clerk
Occupation;order filler
Occupation;orderly
Occupation;ordnance handling expert
Occupation;orthodontist
Occupation;orthotist
Occupation;outdoor power equipment mechanic
Occupation;oven operator
Occupation;packaging machine operator
Occupation;painter
Occupation;painting worker
Occupation;paper goods machine setter
Occupation;paperhanger
Occupation;paralegal
Occupation;paramedic
Occupation;parking enforcement worker
Occupation;parking lot attendant
Occupation;parts salesperson
Occupation;paving equipment operator
Occupation;payroll clerk
Occupation;pediatrician
Occupation;pedicurist
Occupation;personal care aide
Occupation;personal chef
Occupation;personal financial advisor
Occupation;pest control worker
Occupation;pesticide applicator
Occupation;pesticide handler
Occupation;pesticide sprayer
Occupation;petroleum engineer
Occupation;petroleum gauger
Occupation;petroleum pump system operator
Occupation;petroleum refinery operator
Occupation;petroleum technician
Occupation;pharmacist
Occupation;pharmacy aide
Occupation;pharmacy technician
Occupation;philosophy teacher
Occupation;photogrammetrist
Occupation;photographer
Occupation;photographic process worker
Occupation;photographic processing machine operator
Occupation;physical therapist aide
Occupation;physical therapist assistant
Occupation;physical therapist
Occupation;physician assistant
Occupation;physician
Occupation;physicist
Occupation;physics teacher
Occupation;pile-driver operator
Occupation;pipefitter
Occupation;pipelayer
Occupation;planing machine operator
Occupation;planning clerk
Occupation;plant operator
Occupation;plant scientist
Occupation;plasterer
Occupation;plastic patternmaker
Occupation;plastic worker
Occupation;plumber
Occupation;podiatrist
Occupation;police dispatcher
Occupation;police officer
Occupation;policy processing clerk
Occupation;political science teacher
Occupation;political scientist
Occupation;postal service clerk
Occupation;postal service mail carrier
Occupation;postal service mail processing machine operator
Occupation;postal service mail processor
Occupation;postal service mail sorter
Occupation;postmaster
Occupation;postsecondary teacher
Occupation;poultry cutter
Occupation;poultry trimmer
Occupation;power dispatcher
Occupation;power distributor
Occupation;power plant operator
Occupation;power tool repairer
Occupation;precious stone worker
Occupation;precision instrument repairer
Occupation;prepress technician
Occupation;preschool teacher
Occupation;priest
Occupation;print binding worker
Occupation;printing press operator
Occupation;private detective
Occupation;probation officer
Occupation;procurement clerk
Occupation;producer
Occupation;product promoter
Occupation;production clerk
Occupation;production occupation
Occupation;proofreader
Occupation;property manager
Occupation;prosthetist
Occupation;prosthodontist
Occupation;psychiatric aide
Occupation;psychiatric technician
Occupation;psychiatrist
Occupation;psychologist
Occupation;psychology teacher
Occupation;public relations manager
Occupation;public relations specialist
Occupation;pump operator
Occupation;purchasing agent
Occupation;purchasing manager
Occupation;radiation therapist
Occupation;radio announcer
Occupation;radio equipment installer
Occupation;radio operator
Occupation;radiologic technician
Occupation;radiologic technologist
Occupation;rail car repairer
Occupation;rail transportation worker
Occupation;rail yard engineer
Occupation;rail-track laying equipment operator
Occupation;railroad brake operator
Occupation;railroad conductor
Occupation;railroad police
Occupation;rancher
Occupation;real estate appraiser
Occupation;real estate broker
Occupation;real estate manager
Occupation;real estate sales agent
Occupation;receiving clerk
Occupation;receptionist
Occupation;record clerk
Occupation;recreation teacher
Occupation;recreation worker
Occupation;recreational therapist
Occupation;recreational vehicle service technician
Occupation;recyclable material collector
Occupation;referee
Occupation;refractory materials repairer
Occupation;refrigeration installer
Occupation;refrigeration mechanic
Occupation;refuse collector
Occupation;regional planner
Occupation;registered nurse
Occupation;rehabilitation counselor
Occupation;reinforcing iron worker
Occupation;reinforcing rebar worker
Occupation;religion teacher
Occupation;religious activities director
Occupation;religious worker
Occupation;rental clerk
Occupation;repair worker
Occupation;reporter
Occupation;residential advisor
Occupation;resort desk clerk
Occupation;respiratory therapist
Occupation;respiratory therapy technician
Occupation;retail buyer
Occupation;retail salesperson
Occupation;revenue agent
Occupation;rigger
Occupation;rock splitter
Occupation;rolling machine tender
Occupation;roof bolter
Occupation;roofer
Occupation;rotary drill operator
Occupation;roustabout
Occupation;safe repairer
Occupation;sailor
Occupation;sales engineer
Occupation;sales manager
Occupation;sales representative
Occupation;sampler
Occupation;sawing machine operator
Occupation;scaler
Occupation;school bus driver
Occupation;school psychologist
Occupation;school social worker
Occupation;scout leader
Occupation;sculptor
Occupation;secondary education teacher
Occupation;secondary school teacher
Occupation;secretary
Occupation;securities sales agent
Occupation;security guard
Occupation;security system installer
Occupation;segmental paver
Occupation;self-enrichment education teacher
Occupation;semiconductor processor
Occupation;septic tank servicer
Occupation;set designer
Occupation;sewer pipe cleaner
Occupation;sewing machine operator
Occupation;shampooer
Occupation;shaper
Occupation;sheet metal worker
Occupation;sheriff's patrol officer
Occupation;ship captain
Occupation;ship engineer
Occupation;ship loader
Occupation;shipmate
Occupation;shipping clerk
Occupation;shoe machine operator
Occupation;shoe worker
Occupation;short order cook
Occupation;signal operator
Occupation;signal repairer
Occupation;singer
Occupation;ski patrol
Occupation;skincare specialist
Occupation;slaughterer
Occupation;slicing machine tender
Occupation;slot supervisor
Occupation;social science research assistant
Occupation;social sciences teacher
Occupation;social scientist
Occupation;social service assistant
Occupation;social service manager
Occupation;social work teacher
Occupation;social worker
Occupation;sociologist
Occupation;sociology teacher
Occupation;software developer
Occupation;software engineer
Occupation;soil scientist
Occupation;solderer
Occupation;sorter
Occupation;sound engineering technician
Occupation;space scientist
Occupation;special education teacher
Occupation;speech-language pathologist
Occupation;sports book runner
Occupation;sports entertainer
Occupation;sports performer
Occupation;stationary engineer
Occupation;statistical assistant
Occupation;statistician
Occupation;steamfitter
Occupation;stock clerk
Occupation;stock mover
Occupation;stonemason
Occupation;street vendor
Occupation;streetcar operator
Occupation;structural iron worker
Occupation;structural metal fabricator
Occupation;structural metal fitter
Occupation;structural steel worker
Occupation;stucco mason
Occupation;substance abuse counselor
Occupation;substance abuse social worker
Occupation;subway operator
Occupation;surfacing equipment operator
Occupation;surgeon
Occupation;surgical technologist
Occupation;survey researcher
Occupation;surveying technician
Occupation;surveyor
Occupation;switch operator
Occupation;switchboard operator
Occupation;tailor
Occupation;tamping equipment operator
Occupation;tank car loader
Occupation;taper
Occupation;tax collector
Occupation;tax examiner
Occupation;tax preparer
Occupation;taxi driver
Occupation;teacher assistant
Occupation;teacher
Occupation;team assembler
Occupation;technical writer
Occupation;telecommunications equipment installer
Occupation;telemarketer
Occupation;telephone operator
Occupation;television announcer
Occupation;teller
Occupation;terrazzo finisher
Occupation;terrazzo worker
Occupation;tester
Occupation;textile bleaching operator
Occupation;textile cutting machine setter
Occupation;textile knitting machine setter
Occupation;textile presser
Occupation;textile worker
Occupation;therapist
Occupation;ticket agent
Occupation;ticket taker
Occupation;tile setter
Occupation;timekeeping clerk
Occupation;timing device assembler
Occupation;tire builder
Occupation;tire changer
Occupation;tire repairer
Occupation;title abstractor
Occupation;title examiner
Occupation;title searcher
Occupation;tobacco roasting machine operator
Occupation;tool filer
Occupation;tool grinder
Occupation;tool maker
Occupation;tool sharpener
Occupation;tour guide
Occupation;tower equipment installer
Occupation;tower operator
Occupation;track switch repairer
Occupation;tractor operator
Occupation;tractor-trailer truck driver
Occupation;traffic clerk
Occupation;traffic technician
Occupation;training and development manager
Occupation;training and development specialist
Occupation;transit police
Occupation;translator
Occupation;transportation equipment painter
Occupation;transportation inspector
Occupation;transportation security screener
Occupation;transportation worker
Occupation;trapper
Occupation;travel agent
Occupation;travel clerk
Occupation;travel guide
Occupation;tree pruner
Occupation;tree trimmer
Occupation;trimmer
Occupation;truck loader
Occupation;truck mechanic
Occupation;tuner
Occupation;turning machine tool operator
Occupation;typist
Occupation;umpire
Occupation;undertaker
Occupation;upholsterer
Occupation;urban planner
Occupation;usher
Occupation;valve installer
Occupation;vending machine servicer
Occupation;veterinarian
Occupation;veterinary assistant
Occupation;veterinary technician
Occupation;vocational counselor
Occupation;vocational education teacher
Occupation;waiter
Occupation;waitress
Occupation;watch repairer
Occupation;water treatment plant operator
Occupation;weaving machine setter
Occupation;web developer
Occupation;weigher
Occupation;welder
Occupation;wellhead pumper
Occupation;wholesale buyer
Occupation;wildlife biologist
Occupation;window trimmer
Occupation;wood patternmaker
Occupation;woodworker
Occupation;word processor
Occupation;writer
Occupation;yardmaster
Occupation;zoologistOccupation;